BA;291875;Lagoa Real;13;6;13795
BA;291880;Laje;20;7;21104
BA;291890;Lajedão;16;7;3469
BA;291900;Lajedinho;12;7;4329
BA;291905;Lajedo do Tabocal;13;6;8591
BA;291910;Lamarão;20;7;11988
BA;291915;Lapão;9;5;25557
BA;291920;Lauro de Freitas;31;7;144492
BA;291930;Lençóis;18;12;9617
BA;291940;Licínio de Almeida;12;4;12695
BA;291950;Livramento de Nossa Senhora;6;10;42146
BA;291955;Luís Eduardo Magalhães;30;3;44265
BA;291960;Macajuba;2;7;11207
BA;291970;Macarani;17;6;16046
BA;291980;Macaúbas;6;7;45958
BA;291990;Macururé;27;7;7779
BA;291992;Madre de Deus;13;6;15432
BA;291995;Maetinga;9;5;8793
BA;292000;Maiquinique;16;7;8324
BA;292010;Mairi;31;12;19259
BA;292020;Malhada;29;11;16085
BA;292030;Malhada de Pedras;12;7;7620
BA;292040;Manoel Vitorino;30;7;14262
BA;292045;Mansidão;25;2;11694
BA;292050;Maracás;19;4;34221
BA;292060;Maragogipe;8;5;42079
BA;292070;Maraú;17;6;17029
BA;292080;Marcionílio Souza;27;7;10716
BA;292090;Mascote;19;7;16061
BA;292100;Mata de São João;15;4;37201
BA;292105;Matina;16;4;12322
BA;292110;Medeiros Neto;14;8;21866
BA;292120;Miguel Calmon;6;8;27213
BA;292130;Milagres;22;12;11771
BA;292140;Mirangaba;24;11;17474
BA;292145;Mirante;13;6;9174
BA;292150;Monte Santo;21;3;52249
BA;292160;Morpará;16;7;8586
BA;292170;Morro do Chapéu;8;8;34012
BA;292180;Mortugaba;30;11;13905
BA;292190;Mucugê;14;5;14131
BA;292200;Mucuri;10;10;33143
BA;292205;Mulungu do Morro;13;6;13755
BA;292210;Mundo Novo;1;3;23822
BA;292220;Muniz Ferreira;30;7;6990
BA;292225;Muquém de São Francisco;13;6;10096
BA;292230;Muritiba;8;8;27212
BA;292240;Mutuípe;26;7;21181
BA;292250;Nazaré;10;11;4528
BA;292260;Nilo Peçanha;19;12;12531
BA;292265;Nordestina;9;5;12172
BA;292270;Nova Canaã;8;11;18829
BA;292273;Nova Fátima;13;6;7674
BA;292275;Nova Ibiá;13;6;6871
BA;292280;Nova Itarana;20;7;7423
BA;292285;Nova Redenção;24;2;8943
BA;292290;Nova Soure;18;5;25697
BA;292300;Nova Viçosa;23;10;34623
BA;292303;Novo Horizonte;13;6;34264
BA;292305;Novo Triunfo;24;2;14153
BA;292310;Olindina;14;8;23791
BA;292320;Oliveira dos Brejinhos;1;6;22609
BA;292330;Ouriçangas;27;3;7802
BA;292335;Ourolândia;13;6;16302
BA;292340;Palmas de Monte Alto;19;5;21107
BA;292350;Palmeiras;23;12;8040
BA;292360;Paramirim;16;9;20055
BA;292370;Paratinga;25;6;28671
BA;292380;Paripiranga;1;5;28347
BA;292390;Pau Brasil;18;4;12155
BA;292400;Paulo Afonso;28;7;101952
BA;292405;Pé de Serra;20;3;14160
BA;292410;Pedrão;12;7;7238
BA;292420;Pedro Alexandre;28;7;17092
BA;292430;Piatã;11;7;18085
BA;292440;Pilão Arcado;15;1;32844
BA;292450;Pindaí;13;2;15306
BA;292460;Pindobaçu;4;3;20312
BA;292465;Pintadas;9;5;10551
BA;292467;Piraí do Norte;24;2;8897
BA;292470;Piripá;31;7;13515
BA;292480;Piritiba;27;9;24189
BA;292490;Planaltino;30;7;8472
BA;292500;Planalto;5;4;4014
BA;292510;Poções;26;6;44759
BA;292520;Pojuca;29;7;30221
BA;292525;Ponto Novo;24;2;14820
BA;292530;Porto Seguro;30;6;114459
BA;292540;Potiraguá;3;8;10350
BA;292550;Prado;2;8;25429
BA;292560;Presidente Dutra;12;4;40004
BA;292570;Presidente Jânio Quadros;28;12;14803
BA;292575;Presidente Tancredo Neves;24;2;22684
BA;292580;Queimadas;10;6;27186
BA;292590;Quijingue;15;3;27068
BA;292593;Quixabeira;13;6;9348
BA;292595;Rafael Jambeiro;9;5;23107
BA;292600;Remanso;9;8;38004
BA;292610;Retirolândia;27;7;11938
BA;292620;Riachão das Neves;19;7;22528
BA;292630;Riachão do Jacuípe;14;8;32522
BA;292640;Riacho de Santana;13;8;4292
BA;292650;Ribeira do Amparo;14;8;14101
BA;292660;Ribeira do Pombal;19;9;47400
BA;292665;Ribeirão do Largo;3;3;14297
BA;292670;Rio de Contas;28;8;13447
BA;292680;Rio do Antônio;27;7;15096
BA;292690;Rio do Pires;17;11;11385
BA;292700;Rio Real;1;7;36169
BA;292710;Rodelas;30;7;7023
BA;292720;Ruy Barbosa;28;8;3625
BA;292730;Salinas da Margarida;27;7;13090
BA;292740;Salvador;29;3;2892625
BA;292750;Santa Bárbara;14;12;19440
BA;292760;Santa Brígida;27;7;15483
BA;292770;Santa Cruz Cabrália;23;7;25110
BA;292780;Santa Cruz da Vitória;5;7;6386
BA;292790;Santa Inês;26;10;3707
BA;292805;Santa Luzia;10;5;14292
BA;292810;Santa Maria da Vitória;26;6;40571
BA;292840;Santa Rita de Cássia;26;3;26135
BA;292850;Santa Terezinha;19;10;9025
BA;292800;Santaluz;18;7;33633
BA;292820;Santana;26;8;25947
BA;292830;Santanópolis;13;7;9199
BA;292860;Santo Amaro;13;3;58028
BA;292870;Santo Antônio de Jesus;29;5;84256
BA;292880;Santo Estêvão;21;9;44532
BA;292890;São Desidério;22;2;25158
BA;292895;São Domingos;13;6;8818
BA;292910;São Felipe;29;5;20265
BA;292900;São Félix;25;10;15302
BA;292905;São Félix do Coribe;13;6;12815
BA;292920;São Francisco do Conde;30;3;29829
BA;292925;São Gabriel;25;2;18468
BA;292930;São Gonçalo dos Campos;28;7;29205
BA;292935;São José da Vitória;13;6;6095
BA;292937;São José do Jacuípe;13;6;10477
BA;292940;São Miguel das Matas;1;6;10270
BA;292950;São Sebastião do Passé;12;10;40321
BA;292960;Sapeaçu;27;4;16518
BA;292970;Sátiro Dias;14;8;18104
BA;292975;Saubara;13;6;11051
BA;292980;Saúde;6;7;11866
BA;292990;Seabra;14;5;40543
